#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
4.4300000000e-02	1.4183262544e+06	6.2836711372e+00                 	3.5682774682e+00                 	2.7153936690e+00                 	5.6786508879e-01                 	9.5492727725e-01                 
4.5100000000e-02	1.3931674739e+06	6.2836771341e+00                 	3.5617290160e+00                 	2.7219481181e+00                 	5.6682240987e-01                 	9.5502105961e-01                 
4.5900000000e-02	1.3688856878e+06	6.2836831552e+00                 	3.5604891869e+00                 	2.7231939683e+00                 	5.6662455744e-01                 	9.5432835686e-01                 
4.6800000000e-02	1.3425609631e+06	6.2836899148e+00                 	3.5605962741e+00                 	2.7230936407e+00                 	5.6664098999e-01                 	9.5330602102e-01                 
4.7700000000e-02	1.3172296241e+06	6.2836966604e+00                 	3.5615973239e+00                 	2.7220993364e+00                 	5.6679969076e-01                 	9.5210297910e-01                 
4.8600000000e-02	1.2928364830e+06	6.2837034098e+00                 	3.5615350202e+00                 	2.7221683895e+00                 	5.6678916683e-01                 	9.5092200810e-01                 
4.9600000000e-02	1.2667712313e+06	6.2837108526e+00                 	3.5557774515e+00                 	2.7279334012e+00                 	5.6587222660e-01                 	9.5045589209e-01                 
5.0600000000e-02	1.2417362267e+06	6.2837180730e+00                 	3.5472902672e+00                 	2.7364278058e+00                 	5.6452091357e-01                 	9.5095392902e-01                 
5.1700000000e-02	1.2153163070e+06	6.2837259323e+00                 	3.5437344965e+00                 	2.7399914357e+00                 	5.6395433772e-01                 	9.5082182701e-01                 
5.2800000000e-02	1.1899972173e+06	6.2837337490e+00                 	3.5456902513e+00                 	2.7380434977e+00                 	5.6426487705e-01                 	9.4989048897e-01                 
5.3900000000e-02	1.1657115598e+06	6.2837415694e+00                 	3.5532123725e+00                 	2.7305291969e+00                 	5.6546125160e-01                 	9.4799110937e-01                 
5.5100000000e-02	1.1403240122e+06	6.2837501907e+00                 	3.5648320875e+00                 	2.7189181032e+00                 	5.6730964461e-01                 	9.4496357159e-01                 
5.6400000000e-02	1.1140399481e+06	6.2837595145e+00                 	3.5743182586e+00                 	2.7094412558e+00                 	5.6881843591e-01                 	9.4196298708e-01                 
5.7700000000e-02	1.0889402612e+06	6.2837687405e+00                 	3.5821535629e+00                 	2.7016151776e+00                 	5.7006451237e-01                 	9.3928432625e-01                 
5.9000000000e-02	1.0649466622e+06	6.2837780129e+00                 	3.5908177275e+00                 	2.6929602854e+00                 	5.7144248573e-01                 	9.3613096871e-01                 
6.0500000000e-02	1.0385430260e+06	6.2837885605e+00                 	3.5939886074e+00                 	2.6897999532e+00                 	5.7194613930e-01                 	9.3385975017e-01                 
6.2000000000e-02	1.0134169850e+06	6.2837989994e+00                 	3.5961829890e+00                 	2.6876160104e+00                 	5.7229440174e-01                 	9.3188834663e-01                 
6.3600000000e-02	9.8792221811e+05	6.2838100340e+00                 	3.5980684791e+00                 	2.6857415549e+00                 	5.7259345200e-01                 	9.2996464520e-01                 
6.5300000000e-02	9.6220295669e+05	6.2838216501e+00                 	3.6006044789e+00                 	2.6832171712e+00                 	5.7299596955e-01                 	9.2792394021e-01                 
6.7000000000e-02	9.3778885182e+05	6.2838332837e+00                 	3.6053578309e+00                 	2.6784754528e+00                 	5.7375135019e-01                 	9.2522758349e-01                 
6.8900000000e-02	9.1192820133e+05	6.2838461594e+00                 	3.6036021200e+00                 	2.6802440394e+00                 	5.7347077388e-01                 	9.2367979653e-01                 
7.0800000000e-02	8.8745555186e+05	6.2838587632e+00                 	3.5938257610e+00                 	2.6900330022e+00                 	5.7191383455e-01                 	9.2421017364e-01                 
7.2900000000e-02	8.6189098864e+05	6.2838724748e+00                 	3.5835179597e+00                 	2.7003545151e+00                 	5.7027222849e-01                 	9.2505415438e-01                 
7.3800000000e-02	8.5138012292e+05	6.2838783110e+00                 	3.5794746178e+00                 	2.7044036932e+00                 	5.6962825196e-01                 	9.2537678059e-01                 
7.5100000000e-02	8.3664251760e+05	6.2838866411e+00                 	3.5718412635e+00                 	2.7120453775e+00                 	5.6841274637e-01                 	9.2637060433e-01                 
7.7500000000e-02	8.1073358802e+05	6.2839018604e+00                 	3.5608373494e+00                 	2.7230645110e+00                 	5.6666024208e-01                 	9.2774298407e-01                 
8.0000000000e-02	7.8539816340e+05	6.2839174476e+00                 	3.5485915096e+00                 	2.7353259380e+00                 	5.6471007762e-01                 	9.2964080885e-01                 
